datetime,value
2020-01-30 09:00,0.985
2020-01-30 09:15,0.947
2020-01-30 09:30,0.915
2020-01-30 09:45,0.887
2020-01-30 10:00,0.867
2020-01-30 10:15,0.851
2020-01-30 10:30,0.839
2020-01-30 10:45,0.835
2020-01-30 11:00,0.831
2020-01-30 11:15,0.831
2020-01-30 11:30,0.830
2020-01-30 11:45,0.829
2020-01-30 12:00,0.828
2020-01-30 12:15,0.826
2020-01-30 12:30,0.825
2020-01-30 12:45,0.823
2020-01-30 13:00,0.820
2020-01-30 13:15,0.820
2020-01-30 13:30,0.819
2020-01-30 13:45,0.817
2020-01-30 14:00,0.815
2020-01-30 14:15,0.814
2020-01-30 14:30,0.814
2020-01-30 14:45,0.813
2020-01-30 15:00,0.812
2020-01-30 15:15,0.813
2020-01-30 15:30,0.812
2020-01-30 15:45,0.814
2020-01-30 16:00,0.813
2020-01-30 16:15,0.815
2020-01-30 16:30,0.816
2020-01-30 16:45,0.817
2020-01-30 17:00,0.819
2020-01-30 17:15,0.820
2020-01-30 17:30,0.821
2020-01-30 17:45,0.822
2020-01-30 18:00,0.822
2020-01-30 18:15,0.823
2020-01-30 18:30,0.823
2020-01-30 18:45,0.823
2020-01-30 19:00,0.824
2020-01-30 19:15,0.825
2020-01-30 19:30,0.825
2020-01-30 19:45,0.826
2020-01-30 20:00,0.829
2020-01-30 20:15,0.832
2020-01-30 20:30,0.833
2020-01-30 20:45,0.832
2020-01-30 21:00,0.837
2020-01-30 21:15,0.859
2020-01-30 21:30,0.856
2020-01-30 21:45,0.844
2020-01-30 22:00,0.837
2020-01-30 22:15,0.833
2020-01-30 22:30,0.831
2020-01-30 22:45,0.830
2020-01-30 23:00,0.830
2020-01-30 23:15,0.830
2020-01-30 23:30,0.830
2020-01-30 23:45,0.831
2020-01-31 00:00,0.830
2020-01-31 00:15,0.830
2020-01-31 00:30,0.830
2020-01-31 00:45,0.829
2020-01-31 01:00,0.829
2020-01-31 01:15,0.828
2020-01-31 01:30,0.828
2020-01-31 01:45,0.828
2020-01-31 02:00,0.825
2020-01-31 02:15,0.825
2020-01-31 02:30,0.826
2020-01-31 02:45,0.825
2020-01-31 03:00,0.825
2020-01-31 03:15,0.826
2020-01-31 03:30,0.826
2020-01-31 03:45,0.827
2020-01-31 04:00,0.827
2020-01-31 04:15,0.828
2020-01-31 04:30,0.828
2020-01-31 04:45,0.829
2020-01-31 05:00,0.828
2020-01-31 05:15,0.829
2020-01-31 05:30,0.829
2020-01-31 05:45,0.829
2020-01-31 06:00,0.829
2020-01-31 06:15,0.830
2020-01-31 06:30,0.829
2020-01-31 06:45,0.829
2020-01-31 07:00,0.829
2020-01-31 07:15,0.829
2020-01-31 07:30,0.831
2020-01-31 07:45,0.833
2020-01-31 08:00,0.835
2020-01-31 08:15,0.836
2020-01-31 08:30,0.838
2020-01-31 08:45,0.848
2020-01-31 09:00,0.901
2020-01-31 09:15,0.930
2020-01-31 09:30,0.941
2020-01-31 09:45,0.912
2020-01-31 10:00,0.876
2020-01-31 10:15,0.857
2020-01-31 10:30,0.842
2020-01-31 10:45,0.835
2020-01-31 11:00,0.828
2020-01-31 11:15,0.826
2020-01-31 11:30,0.823
2020-01-31 11:45,0.822
2020-01-31 12:00,0.821
2020-01-31 12:15,0.820
2020-01-31 12:30,0.819
2020-01-31 12:45,0.819
2020-01-31 13:00,0.820
2020-01-31 13:15,0.823
2020-01-31 13:30,0.822
2020-01-31 13:45,0.824
2020-01-31 14:00,0.825
2020-01-31 14:15,0.826
2020-01-31 14:30,0.825
2020-01-31 14:45,0.827
2020-01-31 15:00,0.826
2020-01-31 15:15,0.825
2020-01-31 15:30,0.825
2020-01-31 15:45,0.827
2020-01-31 16:00,0.828
2020-01-31 16:15,0.828
2020-01-31 16:30,0.827
2020-01-31 16:45,0.829
2020-01-31 17:00,0.829
2020-01-31 17:15,0.827
2020-01-31 17:30,0.829
2020-01-31 17:45,0.829
2020-01-31 18:00,0.828
2020-01-31 18:15,0.829
2020-01-31 18:30,0.829
2020-01-31 18:45,0.829
2020-01-31 19:00,0.830
2020-01-31 19:15,0.830
2020-01-31 19:30,0.829
2020-01-31 19:45,0.831
2020-01-31 20:00,0.833
2020-01-31 20:15,0.835
2020-01-31 20:30,0.835
2020-01-31 20:45,0.838
2020-01-31 21:00,0.847
2020-01-31 21:15,0.869
2020-01-31 21:30,0.960
2020-01-31 21:45,0.978
2020-01-31 22:00,0.922
2020-01-31 22:15,0.884
2020-01-31 22:30,0.863
2020-01-31 22:45,0.858
2020-01-31 23:00,0.851
2020-01-31 23:15,0.844
2020-01-31 23:30,0.843
2020-01-31 23:45,0.841
2020-02-01 00:00,0.841
2020-02-01 00:15,0.841
2020-02-01 00:30,0.842
2020-02-01 00:45,0.842
2020-02-01 01:00,0.842
2020-02-01 01:15,0.841
2020-02-01 01:30,0.842
2020-02-01 01:45,0.842
2020-02-01 02:00,0.842
2020-02-01 02:15,0.845
2020-02-01 02:30,0.846
2020-02-01 02:45,0.845
2020-02-01 03:00,0.845
2020-02-01 03:15,0.847
2020-02-01 03:30,0.849
2020-02-01 03:45,0.849
2020-02-01 04:00,0.849
2020-02-01 04:15,0.850
2020-02-01 04:30,0.851
2020-02-01 04:45,0.852
2020-02-01 05:00,0.855
2020-02-01 05:15,0.856
2020-02-01 05:30,0.858
2020-02-01 05:45,0.858
2020-02-01 06:00,0.859
2020-02-01 06:15,0.861
2020-02-01 06:30,0.862
2020-02-01 06:45,0.864
2020-02-01 07:00,0.862
2020-02-01 07:15,0.865
2020-02-01 07:30,0.865
2020-02-01 07:45,0.868
2020-02-01 08:00,0.869
2020-02-01 08:15,0.870
2020-02-01 08:30,0.874
2020-02-01 08:45,0.873
2020-02-01 09:00,0.877
2020-02-01 09:15,0.889
2020-02-01 09:30,0.903
2020-02-01 09:45,0.915
2020-02-01 10:00,0.937
2020-02-01 10:15,0.976
2020-02-01 10:30,0.982
2020-02-01 10:45,0.941
2020-02-01 11:00,0.914
2020-02-01 11:15,0.891
2020-02-01 11:30,0.879
2020-02-01 11:45,0.871
2020-02-01 12:00,0.868
2020-02-01 12:15,0.866
2020-02-01 12:30,0.866
2020-02-01 12:45,0.867
2020-02-01 13:00,0.868
2020-02-01 13:15,0.870
2020-02-01 13:30,0.873
2020-02-01 13:45,0.876
2020-02-01 14:00,0.879
2020-02-01 14:15,0.881
2020-02-01 14:30,0.883
2020-02-01 14:45,0.885
2020-02-01 15:00,0.886
2020-02-01 15:15,0.886
2020-02-01 15:30,0.888
2020-02-01 15:45,0.888
2020-02-01 16:00,0.888
2020-02-01 16:15,0.891
2020-02-01 16:30,0.889
2020-02-01 16:45,0.889
2020-02-01 17:00,0.891
2020-02-01 17:15,0.892
2020-02-01 17:30,0.893
2020-02-01 17:45,0.894
2020-02-01 18:00,0.893
2020-02-01 18:15,0.895
2020-02-01 18:30,0.895
2020-02-01 18:45,0.897
2020-02-01 19:00,0.896
2020-02-01 19:15,0.896
2020-02-01 19:30,0.899
2020-02-01 19:45,0.900
2020-02-01 20:00,0.900
2020-02-01 20:15,0.900
2020-02-01 20:30,0.901
2020-02-01 20:45,0.900
2020-02-01 21:00,0.903
2020-02-01 21:15,0.902
2020-02-01 21:30,0.903
2020-02-01 21:45,0.903
2020-02-01 22:00,0.904
2020-02-01 22:15,0.904
2020-02-01 22:30,0.904
2020-02-01 22:45,0.905
2020-02-01 23:00,0.905
2020-02-01 23:15,0.905
2020-02-01 23:30,0.908
2020-02-01 23:45,0.907
2020-02-02 00:00,0.908
2020-02-02 00:15,0.908
2020-02-02 00:30,0.909
2020-02-02 00:45,0.909
2020-02-02 01:00,0.909
2020-02-02 01:15,0.909
2020-02-02 01:30,0.909
2020-02-02 01:45,0.910
2020-02-02 02:00,0.911
2020-02-02 02:15,0.910
2020-02-02 02:30,0.910
2020-02-02 02:45,0.910
2020-02-02 03:00,0.911
2020-02-02 03:15,0.910
2020-02-02 03:30,0.912
2020-02-02 03:45,0.912
2020-02-02 04:00,0.911
2020-02-02 04:15,0.911
2020-02-02 04:30,0.911
2020-02-02 04:45,0.911
2020-02-02 05:00,0.911
2020-02-02 05:15,0.912
2020-02-02 05:30,0.911
2020-02-02 05:45,0.913
2020-02-02 06:00,0.913
2020-02-02 06:15,0.913
2020-02-02 06:30,0.911
2020-02-02 06:45,0.913
2020-02-02 07:00,0.912
2020-02-02 07:15,0.913
2020-02-02 07:30,0.913
2020-02-02 07:45,0.911
2020-02-02 08:00,0.913
2020-02-02 08:15,0.912
2020-02-02 08:30,0.912
2020-02-02 08:45,0.911
2020-02-02 09:00,0.912
2020-02-02 09:15,0.910
2020-02-02 09:30,0.912
2020-02-02 09:45,0.911
2020-02-02 10:00,0.911
2020-02-02 10:15,0.911
2020-02-02 10:30,0.912
2020-02-02 10:45,0.915
2020-02-02 11:00,0.918
2020-02-02 11:15,0.919
2020-02-02 11:30,0.915
2020-02-02 11:45,0.913
2020-02-02 12:00,0.914
2020-02-02 12:15,0.912
2020-02-02 12:30,0.911
2020-02-02 12:45,0.907
2020-02-02 13:00,0.905
2020-02-02 13:15,0.904
2020-02-02 13:30,0.902
2020-02-02 13:45,0.903
2020-02-02 14:00,0.902
2020-02-02 14:15,0.900
2020-02-02 14:30,0.900
2020-02-02 14:45,0.901
2020-02-02 15:00,0.900
2020-02-02 15:15,0.899
2020-02-02 15:30,0.898
2020-02-02 15:45,0.902
2020-02-02 16:00,0.900
2020-02-02 16:15,0.900
2020-02-02 16:30,0.899
2020-02-02 16:45,0.899
2020-02-02 17:00,0.899
2020-02-02 17:15,0.899
2020-02-02 17:30,0.898
2020-02-02 17:45,0.898
2020-02-02 18:00,0.900
2020-02-02 18:15,0.900
2020-02-02 18:30,0.899
2020-02-02 18:45,0.901
2020-02-02 19:00,0.901
2020-02-02 19:15,0.901
2020-02-02 19:30,0.900
2020-02-02 19:45,0.901
2020-02-02 20:00,0.899
2020-02-02 20:15,0.898
2020-02-02 20:30,0.899
2020-02-02 20:45,0.898
2020-02-02 21:00,0.900
2020-02-02 21:15,0.900
2020-02-02 21:30,0.899
2020-02-02 21:45,0.900
2020-02-02 22:00,0.899
2020-02-02 22:15,0.900
2020-02-02 22:30,0.899
2020-02-02 22:45,0.900
2020-02-02 23:00,0.901
2020-02-02 23:15,0.904
2020-02-02 23:30,0.907
2020-02-02 23:45,0.906
2020-02-03 00:00,0.907
2020-02-03 00:15,0.908
2020-02-03 00:30,0.909
2020-02-03 00:45,0.908
2020-02-03 01:00,0.909
2020-02-03 01:15,0.911
2020-02-03 01:30,0.912
2020-02-03 01:45,0.914
2020-02-03 02:00,0.915
2020-02-03 02:15,0.915
2020-02-03 02:30,0.916
2020-02-03 02:45,0.917
2020-02-03 03:00,0.918
2020-02-03 03:15,0.918
2020-02-03 03:30,0.918
2020-02-03 03:45,0.918
2020-02-03 04:00,0.919
2020-02-03 04:15,0.919
2020-02-03 04:30,0.920
2020-02-03 04:45,0.919
2020-02-03 05:00,0.920
2020-02-03 05:15,0.921
2020-02-03 05:30,0.921
2020-02-03 05:45,0.921
2020-02-03 06:00,0.921
2020-02-03 06:15,0.921
2020-02-03 06:30,0.921
2020-02-03 06:45,0.920
2020-02-03 07:00,0.921
2020-02-03 07:15,0.921
2020-02-03 07:30,0.922
2020-02-03 07:45,0.921
2020-02-03 08:00,0.922
2020-02-03 08:15,0.923
2020-02-03 08:30,0.923
2020-02-03 08:45,0.924
2020-02-03 09:00,0.922
2020-02-03 09:15,0.923
2020-02-03 09:30,0.925
2020-02-03 09:45,0.925
2020-02-03 10:00,0.925
2020-02-03 10:15,0.927
2020-02-03 10:30,0.926
2020-02-03 10:45,0.927
2020-02-03 11:00,0.927
2020-02-03 11:15,0.929
2020-02-03 11:30,0.928
2020-02-03 11:45,0.928
2020-02-03 12:00,0.928
2020-02-03 12:15,0.927
2020-02-03 12:30,0.929
2020-02-03 12:45,0.928
2020-02-03 13:00,0.929
2020-02-03 13:15,0.929
2020-02-03 13:30,0.928
2020-02-03 13:45,0.929
2020-02-03 14:00,0.928
2020-02-03 14:15,0.926
2020-02-03 14:30,0.926
2020-02-03 14:45,0.926
2020-02-03 15:00,0.925
2020-02-03 15:15,0.924
2020-02-03 15:30,0.923
2020-02-03 15:45,0.923
2020-02-03 16:00,0.921
2020-02-03 16:15,0.922
2020-02-03 16:30,0.920
2020-02-03 16:45,0.922
2020-02-03 17:00,0.920
2020-02-03 17:15,0.920
2020-02-03 17:30,0.919
2020-02-03 17:45,0.920
2020-02-03 18:00,0.919
2020-02-03 18:15,0.919
2020-02-03 18:30,0.920
2020-02-03 18:45,0.921
2020-02-03 19:00,0.919
2020-02-03 19:15,0.921
2020-02-03 19:30,0.923
2020-02-03 19:45,0.923
2020-02-03 20:00,0.922
2020-02-03 20:15,0.922
2020-02-03 20:30,0.923
2020-02-03 20:45,0.922
2020-02-03 21:00,0.924
2020-02-03 21:15,0.921
2020-02-03 21:30,0.921
2020-02-03 21:45,0.921
2020-02-03 22:00,0.922
2020-02-03 22:15,0.923
2020-02-03 22:30,0.924
2020-02-03 22:45,0.921
2020-02-03 23:00,0.923
2020-02-03 23:15,0.923
2020-02-03 23:30,0.924
2020-02-03 23:45,0.923
2020-02-04 00:00,0.922
2020-02-04 00:15,0.922
2020-02-04 00:30,0.922
2020-02-04 00:45,0.921
2020-02-04 01:00,0.920
2020-02-04 01:15,0.920
2020-02-04 01:30,0.922
2020-02-04 01:45,0.922
2020-02-04 02:00,0.922
2020-02-04 02:15,0.923
2020-02-04 02:30,0.920
2020-02-04 02:45,0.921
2020-02-04 03:00,0.921
2020-02-04 03:15,0.922
2020-02-04 03:30,0.922
2020-02-04 03:45,0.921
2020-02-04 04:00,0.922
2020-02-04 04:15,0.920
2020-02-04 04:30,0.920
2020-02-04 04:45,0.918
2020-02-04 05:00,0.919
2020-02-04 05:15,0.919
2020-02-04 05:30,0.919
2020-02-04 05:45,0.917
2020-02-04 06:00,0.918
2020-02-04 06:15,0.919
2020-02-04 06:30,0.920
2020-02-04 06:45,0.918
2020-02-04 07:00,0.919
2020-02-04 07:15,0.920
2020-02-04 07:30,0.920
2020-02-04 07:45,0.919
2020-02-04 08:00,0.919
2020-02-04 08:15,0.919
2020-02-04 08:30,0.919
2020-02-04 08:45,0.920
2020-02-04 09:00,0.920
2020-02-04 09:15,0.919
2020-02-04 09:30,0.922
2020-02-04 09:45,0.918
2020-02-04 10:00,0.918
2020-02-04 10:15,0.920
2020-02-04 10:30,0.920
2020-02-04 10:45,0.919
2020-02-04 11:00,0.919
2020-02-04 11:15,0.918
2020-02-04 11:30,0.918
2020-02-04 11:45,0.919
2020-02-04 12:00,0.918
2020-02-04 12:15,0.919
2020-02-04 12:30,0.918
2020-02-04 12:45,0.916
2020-02-04 13:00,0.917
2020-02-04 13:15,0.916
2020-02-04 13:30,0.918
2020-02-04 13:45,0.918
2020-02-04 14:00,0.916
2020-02-04 14:15,0.914
2020-02-04 14:30,0.915
2020-02-04 14:45,0.915
2020-02-04 15:00,0.915
2020-02-04 15:15,0.915
2020-02-04 15:30,0.913
2020-02-04 15:45,0.914
2020-02-04 16:00,0.913
2020-02-04 16:15,0.915
2020-02-04 16:30,0.914
2020-02-04 16:45,0.913
2020-02-04 17:00,0.914
2020-02-04 17:15,0.913
2020-02-04 17:30,0.913
2020-02-04 17:45,0.914
2020-02-04 18:00,0.914
2020-02-04 18:15,0.913
2020-02-04 18:30,0.914
2020-02-04 18:45,0.912
2020-02-04 19:00,0.913
2020-02-04 19:15,0.913
2020-02-04 19:30,0.912
2020-02-04 19:45,0.912
2020-02-04 20:00,0.911
2020-02-04 20:15,0.910
2020-02-04 20:30,0.911
2020-02-04 20:45,0.911
2020-02-04 21:00,0.912
2020-02-04 21:15,0.912
2020-02-04 21:30,0.910
2020-02-04 21:45,0.910
2020-02-04 22:00,0.910
2020-02-04 22:15,0.911
2020-02-04 22:30,0.909
2020-02-04 22:45,0.909
2020-02-04 23:00,0.909
2020-02-04 23:15,0.910
2020-02-04 23:30,0.910
2020-02-04 23:45,0.909
2020-02-05 00:00,0.910
2020-02-05 00:15,0.909
2020-02-05 00:30,0.908
2020-02-05 00:45,0.909
2020-02-05 01:00,0.906
2020-02-05 01:15,0.909
2020-02-05 01:30,0.907
2020-02-05 01:45,0.908
2020-02-05 02:00,0.907
2020-02-05 02:15,0.906
2020-02-05 02:30,0.906
2020-02-05 02:45,0.907
2020-02-05 03:00,0.907
2020-02-05 03:15,0.906
2020-02-05 03:30,0.907
2020-02-05 03:45,0.906
2020-02-05 04:00,0.907
2020-02-05 04:15,0.906
2020-02-05 04:30,0.906
2020-02-05 04:45,0.907
2020-02-05 05:00,0.904
2020-02-05 05:15,0.905
2020-02-05 05:30,0.904
2020-02-05 05:45,0.904
2020-02-05 06:00,0.903
2020-02-05 06:15,0.903
2020-02-05 06:30,0.904
2020-02-05 06:45,0.903
2020-02-05 07:00,0.902
2020-02-05 07:15,0.903
2020-02-05 07:30,0.902
2020-02-05 07:45,0.902
2020-02-05 08:00,0.901
2020-02-05 08:15,0.900
2020-02-05 08:30,0.901
2020-02-05 08:45,0.900
2020-02-05 09:00,0.898
2020-02-05 09:15,0.901
2020-02-05 09:30,0.900
2020-02-05 09:45,0.899
2020-02-05 10:00,0.899
2020-02-05 10:15,0.898
2020-02-05 10:30,0.899
2020-02-05 10:45,0.898
2020-02-05 11:00,0.897
2020-02-05 11:15,0.897
2020-02-05 11:30,0.898
2020-02-05 11:45,0.897
2020-02-05 12:00,0.896
2020-02-05 12:15,0.895
2020-02-05 12:30,0.896
2020-02-05 12:45,0.895
2020-02-05 13:00,0.893
2020-02-05 13:15,0.894
2020-02-05 13:30,0.893
2020-02-05 13:45,0.893
2020-02-05 14:00,0.892
2020-02-05 14:15,0.890
2020-02-05 14:30,0.890
2020-02-05 14:45,0.890
2020-02-05 15:00,0.890
2020-02-05 15:15,0.890
2020-02-05 15:30,0.890
2020-02-05 15:45,0.890
2020-02-05 16:00,0.888
2020-02-05 16:15,0.888
2020-02-05 16:30,0.888
2020-02-05 16:45,0.887
2020-02-05 17:00,0.886
2020-02-05 17:15,0.886
2020-02-05 17:30,0.886
2020-02-05 17:45,0.887
2020-02-05 18:00,0.884
2020-02-05 18:15,0.886
2020-02-05 18:30,0.885
2020-02-05 18:45,0.883
2020-02-05 19:00,0.883
2020-02-05 19:15,0.883
2020-02-05 19:30,0.885
2020-02-05 19:45,0.883
2020-02-05 20:00,0.883
2020-02-05 20:15,0.882
2020-02-05 20:30,0.882
2020-02-05 20:45,0.881
2020-02-05 21:00,0.882
2020-02-05 21:15,0.882
2020-02-05 21:30,0.882
2020-02-05 21:45,0.881
2020-02-05 22:00,0.881
2020-02-05 22:15,0.881
2020-02-05 22:30,0.880
2020-02-05 22:45,0.881
2020-02-05 23:00,0.880
2020-02-05 23:15,0.879
2020-02-05 23:30,0.880
2020-02-05 23:45,0.880
2020-02-06 00:00,0.880
2020-02-06 00:15,0.880
2020-02-06 00:30,0.878
2020-02-06 00:45,0.879
2020-02-06 01:00,0.879
2020-02-06 01:15,0.878
2020-02-06 01:30,0.878
2020-02-06 01:45,0.879
2020-02-06 02:00,0.878
2020-02-06 02:15,0.877
2020-02-06 02:30,0.877
2020-02-06 02:45,0.876
2020-02-06 03:00,0.877
2020-02-06 03:15,0.876
2020-02-06 03:30,0.876
2020-02-06 03:45,0.876
2020-02-06 04:00,0.874
2020-02-06 04:15,0.876
2020-02-06 04:30,0.875
2020-02-06 04:45,0.875
2020-02-06 05:00,0.874
2020-02-06 05:15,0.873
2020-02-06 05:30,0.873
2020-02-06 05:45,0.872
2020-02-06 06:00,0.873
2020-02-06 06:15,0.874
2020-02-06 06:30,0.873
2020-02-06 06:45,0.873
2020-02-06 07:00,0.870
2020-02-06 07:15,0.871
2020-02-06 07:30,0.872
2020-02-06 07:45,0.871
2020-02-06 08:00,0.870
2020-02-06 08:15,0.869
2020-02-06 08:30,0.868
2020-02-06 08:45,0.869
2020-02-06 09:00,0.869
2020-02-06 09:15,0.868
2020-02-06 09:30,0.867
2020-02-06 09:45,0.867
2020-02-06 10:00,0.868
2020-02-06 10:15,0.868
2020-02-06 10:30,0.866
2020-02-06 10:45,0.867
2020-02-06 11:00,0.867
2020-02-06 11:15,0.867
2020-02-06 11:30,0.864
2020-02-06 11:45,0.865
2020-02-06 12:00,0.864
2020-02-06 12:15,0.864
2020-02-06 12:30,0.863
2020-02-06 12:45,0.863
2020-02-06 13:00,0.861
2020-02-06 13:15,0.861
2020-02-06 13:30,0.862
2020-02-06 13:45,0.861
2020-02-06 14:00,0.858
2020-02-06 14:15,0.858
2020-02-06 14:30,0.859
2020-02-06 14:45,0.859
2020-02-06 15:00,0.860
2020-02-06 15:15,0.859
2020-02-06 15:30,0.858
2020-02-06 15:45,0.856
2020-02-06 16:00,0.856
2020-02-06 16:15,0.855
2020-02-06 16:30,0.855
2020-02-06 16:45,0.853
2020-02-06 17:00,0.853
2020-02-06 17:15,0.851
2020-02-06 17:30,0.852
2020-02-06 17:45,0.852
2020-02-06 18:00,0.851
2020-02-06 18:15,0.852
2020-02-06 18:30,0.850
2020-02-06 18:45,0.851
2020-02-06 19:00,0.849
2020-02-06 19:15,0.848
2020-02-06 19:30,0.850
2020-02-06 19:45,0.849
2020-02-06 20:00,0.847
2020-02-06 20:15,0.848
2020-02-06 20:30,0.847
2020-02-06 20:45,0.848
2020-02-06 21:00,0.848
2020-02-06 21:15,0.847
2020-02-06 21:30,0.847
2020-02-06 21:45,0.847
2020-02-06 22:00,0.846
2020-02-06 22:15,0.846
2020-02-06 22:30,0.845
2020-02-06 22:45,0.845
2020-02-06 23:00,0.846
2020-02-06 23:15,0.845
